vcc 0 0 0 vcc_model vcc_type global_master
adc/adc/ifreezelogic/lsn00/mg2.g0.qpa 230 200 680 psvt p ec0lsn080al1n03x5
adc/adc/bfn00/mg101.qna 231 200 1360 nsvt n ec0bfn000al1n04x5
adc/adc/bfn00/mg101.qpa 232 200 1360 psvt p ec0bfn000al1n04x5
adc/adc/bfn00/mqn1 233 200 680 nsvt n ec0bfn000al1n04x5
adc/adc/bfn00/mqp1 234 200 680 psvt p ec0bfn000al1n04x5
adc/adc/bfn01/mg101.qna 235 200 1360 nsvt n ec0bfn000al1n04x5
adc/adc/bfn01/mg101.qpa 236 200 1360 psvt p ec0bfn000al1n04x5
adc/adc/bfn01/mqn1 237 200 680 nsvt n ec0bfn000al1n04x5
adc/adc/bfn01/mqp1 238 200 680 psvt p ec0bfn000al1n04x5
adc/adc/bfn02/mg101.qna 239 200 1360 nsvt n ec0bfn000al1n04x5
adc/adc/bfn02/mg101.qpa 240 200 1360 psvt p ec0bfn000al1n04x5
adc/adc/bfn02/mqn1 241 200 680 nsvt n ec0bfn000al1n04x5
adc/adc/bfn02/mqp1 242 200 680 psvt p ec0bfn000al1n04x5
adc/adc/ec0udpd00an2n00x5_1x/mqn0 243 200 340 n n ec0udpd00an1n00x5
adc/adc/iclkdrv/inv00/mqn1 244 200 5440 nsvt n ec0inv000al1n16x5
adc/adc/iclkdrv/inv00/mqp1 245 200 5440 psvt p ec0inv000al1n16x5
adc/adc/iclkdrv/inv01/mqn1 246 200 5440 nsvt n ec0inv000al1n16x5
adc/adc/iclkdrv/inv01/mqp1 247 200 5440 psvt p ec0inv000al1n16x5
adc/adc/iclkdrv/inv02/mqn1 248 200 5440 nsvt n ec0inv000al1n16x5
adc/adc/iclkdrv/inv02/mqp1 249 200 5440 psvt p ec0inv000al1n16x5
adc/adc/iclkdrv/inv03/mqn1 250 200 1020 nsvt n ec0inv000al1n03x5
adc/adc/iclkdrv/inv03/mqp1 251 200 1020 psvt p ec0inv000al1n03x5
adc/adc/iclkdrv/inv04/mqn1 252 200 1020 nsvt n ec0inv000al1n03x5
adc/adc/iclkdrv/inv04/mqp1 253 200 1020 psvt p ec0inv000al1n03x5
adc/adc/iclkdrv/inv05/mqn1 254 200 1020 nsvt n ec0inv000al1n03x5
adc/adc/iclkdrv/inv05/mqp1 255 200 1020 psvt p ec0inv000al1n03x5
adc/adc/iclkdrv/inv06/mqn1 256 200 1020 nsvt n ec0inv000al1n03x5
adc/adc/iclkdrv/inv06/mqp1 257 200 1020 psvt p ec0inv000al1n03x5
adc/adc/iclkdrv/inv07/mqn1 258 200 1020 nsvt n ec0inv000al1n03x5
adc/adc/iclkdrv/inv07/mqp1 259 200 1020 psvt p ec0inv000al1n03x5
adc/adc/iclkdrv/inv08/mqn1 260 200 1020 nsvt n ec0inv000al1n03x5
adc/adc/iclkdrv/inv08/mqp1 261 200 1020 psvt p ec0inv000al1n03x5
adc/adc/iclkdrv/inv09/mqn1 262 200 680 nsvt n ec0inv000al1n02x5
adc/adc/iclkdrv/inv09/mqp1 263 200 680 psvt p ec0inv000al1n02x5
adc/adc/iclkdrv/nand0/mqn1 264 200 1020 nsvt n ec0nand02al1n03x5
adc/adc/iclkdrv/nand0/mqn2 265 200 1020 nsvt n ec0nand02al1n03x5
adc/adc/iclkdrv/nand0/mqp1 266 200 680 psvt p ec0nand02al1n03x5
adc/adc/iclkdrv/nand0/mqp2 267 200 680 psvt p ec0nand02al1n03x5
adc/adc/iclkdrv/iclkgenprim1/inv00/mqn1 268 200 680 nsvt n ec0inv000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/inv00/mqp1 269 200 680 psvt p ec0inv000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/inv01/mqn1 270 200 1020 nsvt n ec0inv000al1n03x5
adc/adc/iclkdrv/iclkgenprim1/inv01/mqp1 271 200 1020 psvt p ec0inv000al1n03x5
adc/adc/iclkdrv/iclkgenprim1/inv02/mqn1 272 200 1020 nsvt n ec0inv000al1n03x5
adc/adc/iclkdrv/iclkgenprim1/inv02/mqp1 273 200 1020 psvt p ec0inv000al1n03x5
adc/adc/iclkdrv/iclkgenprim1/nand0/mqn1 274 200 1020 nsvt n ec0nand02al1n03x5
adc/adc/iclkdrv/iclkgenprim1/nand0/mqn2 275 200 1020 nsvt n ec0nand02al1n03x5
adc/adc/iclkdrv/iclkgenprim1/nand0/mqp1 276 200 680 psvt p ec0nand02al1n03x5
adc/adc/iclkdrv/iclkgenprim1/nand0/mqp2 277 200 680 psvt p ec0nand02al1n03x5
adc/adc/iclkdrv/iclkgenprim1/nand1/mqn1 278 200 1020 nsvt n ec0nand02al1n03x5
adc/adc/iclkdrv/iclkgenprim1/nand1/mqn2 279 200 1020 nsvt n ec0nand02al1n03x5
